station_id,timestamp,pm25,latitude,longitude,n_stations,source
"Vikas Sadan, Gurugram - HSPCB",2026-09-22T23:00:00Z,387.0,28.4501238,77.0263051,1,live:CPCB CAAQMS via data.gov.in
"Prashant Garden, Khora - UPPCB",2026-09-22T23:00:00Z,260.0,28.61119,77.34206,1,live:CPCB CAAQMS via data.gov.in
"Chandni Chowk, Delhi - IITM",2026-09-22T23:00:00Z,231.0,28.656756,77.227234,1,live:CPCB CAAQMS via data.gov.in
"Teri Gram, Gurugram - HSPCB",2026-09-22T23:00:00Z,213.0,28.4275,77.1465,1,live:CPCB CAAQMS via data.gov.in
"Bawana, Delhi - DPCC",2026-09-22T23:00:00Z,194.0,28.7762,77.051074,1,live:CPCB CAAQMS via data.gov.in
"Nehru Nagar, Delhi - DPCC",2026-09-22T23:00:00Z,193.0,28.56789,77.250515,1,live:CPCB CAAQMS via data.gov.in
"Loni, Ghaziabad - UPPCB",2026-09-22T23:00:00Z,191.0,28.757294,77.278792,1,live:CPCB CAAQMS via data.gov.in
"Knowledge Park - V, Greater Noida - UPPCB",2026-09-22T23:00:00Z,190.0,28.557054,77.453663,1,live:CPCB CAAQMS via data.gov.in
"Vasundhara, Ghaziabad - UPPCB",2026-09-22T23:00:00Z,189.0,28.6603346,77.3572563,1,live:CPCB CAAQMS via data.gov.in
"Sector-2 IMT, Manesar - HSPCB",2026-09-22T23:00:00Z,186.0,28.360699,76.93609,1,live:CPCB CAAQMS via data.gov.in
"RIICO Ind. Area III, Bhiwadi - RSPCB",2026-09-22T23:00:00Z,183.0,28.194909,76.862296,1,live:CPCB CAAQMS via data.gov.in
"Sonia Vihar, Delhi - DPCC",2026-09-22T23:00:00Z,181.0,28.710508,77.249485,1,live:CPCB CAAQMS via data.gov.in
"Indirapuram, Ghaziabad - UPPCB",2026-09-22T23:00:00Z,177.0,28.646233,77.358075,1,live:CPCB CAAQMS via data.gov.in
"Sector - 62, Noida - IITM",2026-09-22T23:00:00Z,176.0,28.6245479,77.3577104,1,live:CPCB CAAQMS via data.gov.in
"Sector-116, Noida - UPPCB",2026-09-22T23:00:00Z,176.0,28.56923,77.393848,1,live:CPCB CAAQMS via data.gov.in
"Rohini, Delhi - DPCC",2026-09-22T23:00:00Z,174.0,28.732528,77.11992,1,live:CPCB CAAQMS via data.gov.in
"NSUT Jaffarpur, Delhi - DPCC",2026-09-22T23:00:00Z,172.0,28.594004,76.909423,1,live:CPCB CAAQMS via data.gov.in
"IHBAS, Dilshad Garden, Delhi - CPCB",2026-09-22T23:00:00Z,172.0,28.6811736,77.3025234,1,live:CPCB CAAQMS via data.gov.in
"Mundka, Delhi - DPCC",2026-09-22T23:00:00Z,171.0,28.684678,77.076574,1,live:CPCB CAAQMS via data.gov.in
"Anand Vihar, Delhi - DPCC",2026-09-22T23:00:00Z,169.0,28.647622,77.315809,1,live:CPCB CAAQMS via data.gov.in
"Arya Nagar, Bahadurgarh - HSPCB",2026-09-22T23:00:00Z,166.0,28.6701,76.9254,1,live:CPCB CAAQMS via data.gov.in
"North Campus, DU, Delhi - IITM",2026-09-22T23:00:00Z,162.0,28.6573814,77.1585447,1,live:CPCB CAAQMS via data.gov.in
"Jahangirpuri, Delhi - DPCC",2026-09-22T23:00:00Z,159.0,28.73282,77.170633,1,live:CPCB CAAQMS via data.gov.in
"NISE Gwal Pahari, Gurugram - IITM",2026-09-22T23:00:00Z,159.0,28.422681,77.148944,1,live:CPCB CAAQMS via data.gov.in
"Vivek Vihar, Delhi - DPCC",2026-09-22T23:00:00Z,157.0,28.672342,77.31526,1,live:CPCB CAAQMS via data.gov.in
"Sirifort, Delhi - CPCB",2026-09-22T23:00:00Z,157.0,28.5504249,77.2159377,1,live:CPCB CAAQMS via data.gov.in
"Commonwealth Sports Complex, Delhi - DPCC",2026-09-22T23:00:00Z,157.0,28.615828,77.271992,1,live:CPCB CAAQMS via data.gov.in
